country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9,4,8966->5384,0.3333333333333333,0.5555555555555556,0.7777777777777777,3.9311120913133446,weak_network_transition_concentration,5,4,0,0.5555555555555556,0.4444444444444444,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.7777777777777778,0.2222222222222222
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,267,17,7578->7578,0.34831460674157305,0.5393258426966292,0.6554307116104869,8.008121648023547,broad_network_transition_distribution,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,True,True,auditable,,131,52,0.7640449438202247,0.23595505617977527
AX,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,1,5416->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,8,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
BJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8,2,28683->174,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,8,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
BR,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,11,3,7195->7195,0.5454545454545454,0.9090909090909091,1.0,2.5004354220773655,moderate_network_transition_concentration,0,11,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.5454545454545454,0.45454545454545453
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,43,8,174->174,0.27906976744186046,0.5348837209302326,0.7441860465116279,5.677569755342772,broad_network_transition_distribution,2,41,0,0.046511627906976744,0.9534883720930233,0.0,True,True,auditable,,31,15,0.0,1.0
CM,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,4134->4134,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,1,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,1.0,0.0
CO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,10,2,23520->23520,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0,10,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.0,1.0
CV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,12,2,23520->23520,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_network_transition_concentration,2,10,0,0.16666666666666666,0.8333333333333334,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,6,0.0,1.0
CY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,18,3,6866->174,0.6111111111111112,0.8333333333333334,1.0,2.544219318119696,moderate_network_transition_concentration,15,3,0,0.8333333333333334,0.16666666666666666,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,4,0.0,1.0
