country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17,17.0,2,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.9411764705882353,1.0,1.0,0.22371807606583377,0.3227569588973983,1.2507183622782252,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,9,1,0.9411764705882353,0.058823529411764705,transition_near_country
AL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_6c6f20567c17::landing_region_ac34543a7a05,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,216,216.0,8,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.6666666666666666,0.8101851851851851,0.9259259259259259,1.0625091864530767,0.5109589113982737,2.893622526177222,moderate_corridor_observation_concentration,True,True,True,True,auditable,,122,40,1,0.9398148148148148,0.06018518518518518,transition_near_country
AX,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_05a5445633a9::landing_region_ca49ab31c10b,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
BJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_343850da3642::landing_region_8afa8229a8fd,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,1,1,0.0,1.0,transition_near_country
BR,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_a33078e57a08::landing_region_bd03623e84bf,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.3333333333333333,0.6666666666666666,transition_near_country
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,97,96.99999999999997,7,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.6041237113402061,0.9134020618556701,0.9752577319587629,0.9653754116172336,0.4961048237946121,2.625773217237492,moderate_corridor_observation_concentration,True,True,True,True,auditable,,41,13,1,0.5876288659793817,0.4123711340206187,transition_near_country
CM,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_30beda532e6f::landing_region_99a747248ab4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4,4.0,3,landing_region_61312bef9df1::landing_region_83c1ffe3b901,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0,transition_near_country
