probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,4,4637->4637,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.6,0.4
AU,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,3,-1->-1,0.4,0.8,1.0,2.8717458874925876,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1.0,0.0
AX,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BB,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BJ,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,2,28683->174,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
CA,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,14,4,174->174,0.42857142857142855,0.7142857142857142,0.8571428571428571,3.5859888270569544,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.14285714285714285,0.8571428571428571
CD,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1,30844->30844,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,1,4134->4134,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1.0,0.0
CR,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,1299->1299,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
CV,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,F-Root,all_publicly_visible,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,23520->13335,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
