probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,Wikipedia,all_publicly_visible,20,0,0,12,8,13,7,0.0,0.0,0.6,0.4
?,Wikipedia,resolved_entry_only,20,0,0,12,8,13,7,0.0,0.0,0.6,0.4
AD,Wikipedia,all_publicly_visible,32,0,0,18,14,21,11,0.0,0.0,0.5625,0.4375
AD,Wikipedia,resolved_entry_only,32,0,0,18,14,21,11,0.0,0.0,0.5625,0.4375
AE,Wikipedia,all_publicly_visible,290,14,11,189,76,200,90,0.04827586206896552,0.03793103448275862,0.6517241379310345,0.2620689655172414
AE,Wikipedia,resolved_entry_only,290,14,11,189,76,200,90,0.04827586206896552,0.03793103448275862,0.6517241379310345,0.2620689655172414
AF,Wikipedia,all_publicly_visible,119,0,0,72,47,73,46,0.0,0.0,0.6050420168067226,0.3949579831932773
AF,Wikipedia,resolved_entry_only,119,0,0,72,47,73,46,0.0,0.0,0.6050420168067226,0.3949579831932773
AL,Wikipedia,all_publicly_visible,452,4,0,310,138,327,125,0.008849557522123894,0.0,0.6858407079646017,0.3053097345132743
AL,Wikipedia,resolved_entry_only,446,4,0,310,132,323,123,0.008968609865470852,0.0,0.695067264573991,0.29596412556053814
AM,Wikipedia,all_publicly_visible,229,8,0,167,54,159,70,0.034934497816593885,0.0,0.7292576419213974,0.23580786026200873
AM,Wikipedia,resolved_entry_only,229,8,0,167,54,159,70,0.034934497816593885,0.0,0.7292576419213974,0.23580786026200873
AO,Wikipedia,all_publicly_visible,186,0,0,97,89,139,47,0.0,0.0,0.521505376344086,0.478494623655914
AO,Wikipedia,resolved_entry_only,186,0,0,97,89,139,47,0.0,0.0,0.521505376344086,0.478494623655914
AR,Wikipedia,all_publicly_visible,834,0,0,645,189,601,233,0.0,0.0,0.7733812949640287,0.22661870503597123
AR,Wikipedia,resolved_entry_only,834,0,0,645,189,601,233,0.0,0.0,0.7733812949640287,0.22661870503597123
AT,Wikipedia,all_publicly_visible,3869,0,0,3345,524,2597,1272,0.0,0.0,0.8645644869475316,0.13543551305246834
AT,Wikipedia,resolved_entry_only,3867,0,0,3345,522,2596,1271,0.0,0.0,0.8650116369278511,0.13498836307214895
AU,Wikipedia,all_publicly_visible,4173,975,0,1618,1580,2761,1412,0.2336448598130841,0.0,0.3877306494128924,0.3786244907740235
AU,Wikipedia,resolved_entry_only,4173,975,0,1618,1580,2761,1412,0.2336448598130841,0.0,0.3877306494128924,0.3786244907740235
AX,Wikipedia,all_publicly_visible,34,4,0,26,4,19,15,0.11764705882352941,0.0,0.7647058823529411,0.11764705882352941
AX,Wikipedia,resolved_entry_only,34,4,0,26,4,19,15,0.11764705882352941,0.0,0.7647058823529411,0.11764705882352941
AZ,Wikipedia,all_publicly_visible,108,0,0,56,52,80,28,0.0,0.0,0.5185185185185185,0.48148148148148145
AZ,Wikipedia,resolved_entry_only,108,0,0,56,52,80,28,0.0,0.0,0.5185185185185185,0.48148148148148145
BA,Wikipedia,all_publicly_visible,283,0,0,255,28,186,97,0.0,0.0,0.901060070671378,0.0989399293286219
BA,Wikipedia,resolved_entry_only,283,0,0,255,28,186,97,0.0,0.0,0.901060070671378,0.0989399293286219
BB,Wikipedia,all_publicly_visible,24,1,0,19,4,16,8,0.041666666666666664,0.0,0.7916666666666666,0.16666666666666666
BB,Wikipedia,resolved_entry_only,24,1,0,19,4,16,8,0.041666666666666664,0.0,0.7916666666666666,0.16666666666666666
BD,Wikipedia,all_publicly_visible,144,11,0,51,82,115,29,0.0763888888888889,0.0,0.3541666666666667,0.5694444444444444
BD,Wikipedia,resolved_entry_only,144,11,0,51,82,115,29,0.0763888888888889,0.0,0.3541666666666667,0.5694444444444444
BE,Wikipedia,all_publicly_visible,2212,2,0,1650,560,1514,698,0.0009041591320072332,0.0,0.7459312839059674,0.25316455696202533
BE,Wikipedia,resolved_entry_only,2184,2,0,1635,547,1489,695,0.0009157509157509158,0.0,0.7486263736263736,0.25045787545787546
BF,Wikipedia,all_publicly_visible,82,0,0,58,24,57,25,0.0,0.0,0.7073170731707317,0.2926829268292683
BF,Wikipedia,resolved_entry_only,82,0,0,58,24,57,25,0.0,0.0,0.7073170731707317,0.2926829268292683
BG,Wikipedia,all_publicly_visible,1761,2,0,1563,196,1036,725,0.001135718341851221,0.0,0.8875638841567292,0.11130039750141965
BG,Wikipedia,resolved_entry_only,1761,2,0,1563,196,1036,725,0.001135718341851221,0.0,0.8875638841567292,0.11130039750141965
BH,Wikipedia,all_publicly_visible,95,8,4,28,55,67,28,0.08421052631578947,0.042105263157894736,0.29473684210526313,0.5789473684210527
BH,Wikipedia,resolved_entry_only,95,8,4,28,55,67,28,0.08421052631578947,0.042105263157894736,0.29473684210526313,0.5789473684210527
BI,Wikipedia,all_publicly_visible,22,0,0,20,2,17,5,0.0,0.0,0.9090909090909091,0.09090909090909091
BI,Wikipedia,resolved_entry_only,22,0,0,20,2,17,5,0.0,0.0,0.9090909090909091,0.09090909090909091
BJ,Wikipedia,all_publicly_visible,190,6,0,158,26,126,64,0.031578947368421054,0.0,0.8315789473684211,0.1368421052631579
BJ,Wikipedia,resolved_entry_only,190,6,0,158,26,126,64,0.031578947368421054,0.0,0.8315789473684211,0.1368421052631579
BL,Wikipedia,all_publicly_visible,19,0,0,19,0,14,5,0.0,0.0,1.0,0.0
BL,Wikipedia,resolved_entry_only,19,0,0,19,0,14,5,0.0,0.0,1.0,0.0
BO,Wikipedia,all_publicly_visible,382,0,0,284,98,270,112,0.0,0.0,0.743455497382199,0.25654450261780104
BO,Wikipedia,resolved_entry_only,382,0,0,284,98,270,112,0.0,0.0,0.743455497382199,0.25654450261780104
BR,Wikipedia,all_publicly_visible,1284,1,0,738,545,963,321,0.000778816199376947,0.0,0.5747663551401869,0.42445482866043616
BR,Wikipedia,resolved_entry_only,1284,1,0,738,545,963,321,0.000778816199376947,0.0,0.5747663551401869,0.42445482866043616
BT,Wikipedia,all_publicly_visible,16,4,0,10,2,12,4,0.25,0.0,0.625,0.125
BT,Wikipedia,resolved_entry_only,16,4,0,10,2,12,4,0.25,0.0,0.625,0.125
BW,Wikipedia,all_publicly_visible,31,0,0,25,6,21,10,0.0,0.0,0.8064516129032258,0.1935483870967742
BW,Wikipedia,resolved_entry_only,31,0,0,25,6,21,10,0.0,0.0,0.8064516129032258,0.1935483870967742
BY,Wikipedia,all_publicly_visible,536,0,0,469,67,390,146,0.0,0.0,0.875,0.125
BY,Wikipedia,resolved_entry_only,536,0,0,469,67,390,146,0.0,0.0,0.875,0.125
CA,Wikipedia,all_publicly_visible,4639,288,6,3120,1225,3373,1266,0.062082345333045914,0.0012933821944384565,0.6725587411079974,0.2640655313645182
CA,Wikipedia,resolved_entry_only,4639,288,6,3120,1225,3373,1266,0.062082345333045914,0.0012933821944384565,0.6725587411079974,0.2640655313645182
CD,Wikipedia,all_publicly_visible,50,1,0,35,14,36,14,0.02,0.0,0.7,0.28
CD,Wikipedia,resolved_entry_only,50,1,0,35,14,36,14,0.02,0.0,0.7,0.28
CG,Wikipedia,all_publicly_visible,71,0,0,39,32,49,22,0.0,0.0,0.5492957746478874,0.4507042253521127
CG,Wikipedia,resolved_entry_only,71,0,0,39,32,49,22,0.0,0.0,0.5492957746478874,0.4507042253521127
CH,Wikipedia,all_publicly_visible,5654,0,0,4851,803,3987,1667,0.0,0.0,0.857976653696498,0.14202334630350194
CH,Wikipedia,resolved_entry_only,5654,0,0,4851,803,3987,1667,0.0,0.0,0.857976653696498,0.14202334630350194
CI,Wikipedia,all_publicly_visible,42,0,0,24,18,30,12,0.0,0.0,0.5714285714285714,0.42857142857142855
CI,Wikipedia,resolved_entry_only,42,0,0,24,18,30,12,0.0,0.0,0.5714285714285714,0.42857142857142855
CK,Wikipedia,all_publicly_visible,21,2,0,17,2,15,6,0.09523809523809523,0.0,0.8095238095238095,0.09523809523809523
CK,Wikipedia,resolved_entry_only,21,2,0,17,2,15,6,0.09523809523809523,0.0,0.8095238095238095,0.09523809523809523
CL,Wikipedia,all_publicly_visible,1428,0,0,873,555,1080,348,0.0,0.0,0.6113445378151261,0.38865546218487396
CL,Wikipedia,resolved_entry_only,1428,0,0,873,555,1080,348,0.0,0.0,0.6113445378151261,0.38865546218487396
CM,Wikipedia,all_publicly_visible,28,2,0,20,6,18,10,0.07142857142857142,0.0,0.7142857142857143,0.21428571428571427
CM,Wikipedia,resolved_entry_only,20,0,0,14,6,12,8,0.0,0.0,0.7,0.3
