country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",11.0,11,11,11,6,5,11,8,0.34375,1,True,False,False,11.0,0.0
AE,landing_region_08ea81d123b5::landing_region_1392e3aea9b8,"Marseille, France -> Fujairah, United Arab Emirates",8.0,16,16,16,8,5,11,8,0.25,2,False,True,False,0.0,8.0
AE,landing_region_1392e3aea9b8::landing_region_16217d497d23,"Fujairah, United Arab Emirates -> Toulon, France",8.0,16,16,16,8,5,11,8,0.25,3,False,False,True,0.0,8.0
AE,landing_region_1392e3aea9b8::landing_region_1ef38be3b39c,"Fujairah, United Arab Emirates -> Abu Dhabi, United Arab Emirates",2.0,2,2,2,1,1,11,8,0.0625,4,False,False,False,2.0,0.0
AE,landing_region_6fa1e5de30e2::landing_region_8dc97f28b4d0,"Al Seeb, Oman -> Sharjah, United Arab Emirates",2.0,2,2,2,1,1,11,8,0.0625,5,False,False,False,0.0,2.0
AE,landing_region_1392e3aea9b8::landing_region_af2b1cb46785,"Fujairah, United Arab Emirates -> Tuas, Singapore",1.0,1,1,1,1,1,11,8,0.03125,6,False,False,False,0.0,1.0
AL,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",4.0,4,4,4,2,2,2,2,1.0,1,True,False,False,0.0,4.0
AO,landing_region_343850da3642::landing_region_3ee19f69866b,"Carcavelos, Portugal -> Luanda, Angola",0.5,1,1,1,1,1,1,1,0.5,1,True,False,False,0.0,0.5
AO,landing_region_3ee19f69866b::landing_region_f7627feb3284,"Luanda, Angola -> Seixal, Portugal",0.5,1,1,1,1,1,1,1,0.5,2,False,True,False,0.0,0.5
AU,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",346.0,346,346,213,110,24,176,57,0.590443686006826,1,True,False,False,346.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",77.0,77,77,77,41,17,176,57,0.13139931740614336,2,False,True,False,77.0,0.0
AU,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",54.0,54,54,54,32,17,176,57,0.09215017064846416,3,False,False,True,54.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_5d023e72c246,"Perth, WA, Australia -> Singapore, Singapore",39.0,78,78,78,45,23,176,57,0.06655290102389079,4,False,False,False,0.0,39.0
AU,landing_region_3996aeca3c5e::landing_region_af2b1cb46785,"Perth, WA, Australia -> Tuas, Singapore",39.0,78,78,78,45,23,176,57,0.06655290102389079,5,False,False,False,0.0,39.0
AU,landing_region_58084817cbe7::landing_region_df61fea74887,"Paddington, NSW, Australia -> El Segundo, CA, United States",20.0,20,20,20,11,9,176,57,0.034129692832764506,6,False,False,False,0.0,20.0
AU,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",11.0,11,11,8,4,4,176,57,0.01877133105802048,7,False,False,False,11.0,0.0
AX,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,"Stavsnas, Sweden -> Hamnäs, Finland",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,0.0,2.0
BH,landing_region_05a5445633a9::landing_region_8dc97f28b4d0,"Al Khobar, Saudi Arabia -> Sharjah, United Arab Emirates",2.0,4,4,4,2,2,2,2,0.3333333333333333,1,True,False,False,0.0,2.0
BH,landing_region_05a5445633a9::landing_region_ca49ab31c10b,"Al Khobar, Saudi Arabia -> Amwaj Island, Bahrain",2.0,2,2,2,1,1,2,2,0.3333333333333333,2,False,True,False,2.0,0.0
BH,landing_region_8dc97f28b4d0::landing_region_ca49ab31c10b,"Sharjah, United Arab Emirates -> Amwaj Island, Bahrain",2.0,4,4,4,2,2,2,2,0.3333333333333333,3,False,False,True,0.0,2.0
BJ,landing_region_343850da3642::landing_region_8afa8229a8fd,"Carcavelos, Portugal -> Cotonou, Benin",2.0,4,4,4,3,1,3,1,0.5,1,True,False,False,0.0,2.0
BJ,landing_region_8afa8229a8fd::landing_region_f7627feb3284,"Cotonou, Benin -> Seixal, Portugal",2.0,4,4,4,3,1,3,1,0.5,2,False,True,False,0.0,2.0
BR,landing_region_38c81e7bfa6f::landing_region_5113b57f1083,"Porto Alegre, Brazil -> Praia Grande, Brazil",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,1.0,0.0
CA,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,"Snug Cove, BC, Canada -> Gambier Harbour, BC, Canada",162.2,167,167,88,47,14,61,18,0.5963235294117647,1,True,False,False,154.2,8.0
CA,landing_region_b451e83206f9::landing_region_d026f3e5a07d,"Lynnwood, WA, United States -> Point Roberts, WA, United States",93.0,93,93,93,48,12,61,18,0.34191176470588236,2,False,True,False,0.0,93.0
CA,landing_region_ad2e1f237edf::landing_region_df3d1db01d0e,"Buffalo, NY, United States -> Toronto, ON, Canada",12.0,12,12,12,6,4,61,18,0.04411764705882353,3,False,False,True,0.0,12.0
CA,landing_region_70abce74b352::landing_region_82a1b23200f3,"Snaw-naw-as, BC, Canada -> Snug Cove, BC, Canada",1.2000000000000002,6,6,6,3,1,61,18,0.004411764705882354,4,False,False,False,1.2000000000000002,0.0
CA,landing_region_70abce74b352::landing_region_c94f4fef1bdd,"Snaw-naw-as, BC, Canada -> Gambier Harbour, BC, Canada",1.2000000000000002,6,6,6,3,1,61,18,0.004411764705882354,5,False,False,False,1.2000000000000002,0.0
