country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,83,23,5384->8966,0.2289156626506024,0.42168674698795183,0.5662650602409638,2.500540409294917,0.7974948244495246,12.189079272896802,broad_network_transition_distribution,0.060240963855421686,True,True,auditable,,58,46,0.6746987951807228,0.3253012048192771,transition_near_country
AL,11,2,6939->6939,0.7272727272727273,1.0,1.0,0.5859526183035508,0.8453509366224364,1.7967017416268891,moderate_network_transition_concentration,0.2727272727272727,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.0,1.0,transition_near_country
AO,1,1,37468->11845,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
AU,966,60,7578->7578,0.40683229813664595,0.515527950310559,0.6014492753623188,2.4813307750748197,0.6060385825779502,11.95716613335475,broad_network_transition_distribution,0.13561076604554864,True,True,auditable,,421,248,0.8105590062111802,0.18944099378881987,transition_near_country
AX,3,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BB,1,1,23520->52253,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BH,15,5,8529->8529,0.26666666666666666,0.5333333333333333,0.7333333333333334,1.5292482930376914,0.9501753880799721,4.614706611083659,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,11,0.0,1.0,transition_near_country
BJ,11,4,28683->174,0.45454545454545453,0.7272727272727273,0.9090909090909091,1.2406842919533958,0.8949645376549995,3.4579789224902,weak_network_transition_concentration,0.09090909090909091,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,0.0,1.0,transition_near_country
BN,1,1,6453->10094,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
BQ,1,1,52389->28104,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
BR,190,39,52320->52320,0.3263157894736842,0.4105263157894737,0.48947368421052634,2.7167601754828765,0.7415625661309633,15.13122024864237,broad_network_transition_distribution,0.05789473684210526,True,True,auditable,,178,140,0.6947368421052632,0.30526315789473685,transition_near_country
CA,526,63,6327->6327,0.1920152091254753,0.32509505703422054,0.41064638783269963,3.090681820948615,0.7459766638195826,21.992067517427703,broad_network_transition_distribution,0.15019011406844107,True,True,auditable,,162,98,0.6121673003802282,0.38783269961977185,transition_near_country
CL,1,1,12956->12956,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CM,3,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,56,18,4134->4134,0.25,0.4285714285714286,0.5714285714285714,2.357009399992199,0.8154692881817432,10.559325466844964,broad_network_transition_distribution,0.017857142857142856,True,True,auditable,,52,42,0.48214285714285715,0.5178571428571429,transition_near_country
CO,6,2,52320->52320,0.8333333333333334,1.0,1.0,0.45056120886630463,0.6500224216483541,1.5691925832141966,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,0.0,1.0,transition_near_country
CV,13,3,37575->37575,0.6923076923076923,0.9230769230769231,1.0,0.7902679680745903,0.7193329040881773,2.2039869452704277,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.6923076923076923,0.3076923076923077,transition_near_country
CW,21,5,23520->23520,0.6190476190476191,0.8095238095238095,0.9047619047619048,1.126626559028212,0.7000124393269148,3.0852310803086485,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,13,0.0,1.0,transition_near_country
CY,21,6,6866->3356,0.42857142857142855,0.6190476190476191,0.8095238095238095,1.508728606956519,0.8420374681242933,4.520979197317614,weak_network_transition_concentration,0.047619047619047616,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,5,0.0,1.0,transition_near_country
DJ,23,7,6939->6939,0.6521739130434783,0.782608695652174,0.8260869565217391,1.2260772645144764,0.6300790738512279,3.4078352460880645,weak_network_transition_concentration,0.043478260869565216,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,22,21,0.0,1.0,transition_near_country
DK,79,10,174->174,0.5949367088607594,0.7215189873417721,0.8227848101265822,1.4298032502331535,0.6209556617835928,4.1778771147059155,weak_network_transition_concentration,0.12658227848101267,True,True,auditable,,74,57,0.0,1.0,transition_near_country
DO,14,6,64126->1299,0.2857142857142857,0.5,0.7142857142857142,1.6731183626432509,0.9337851376692217,5.328758917915539,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,8,0.21428571428571427,0.7857142857142857,transition_near_country
EE,59,6,1299->1299,0.423728813559322,0.6440677966101694,0.847457627118644,1.41217323865914,0.7881488910269566,4.104866572241738,weak_network_transition_concentration,0.0,True,True,auditable,,30,19,0.0,1.0,transition_near_country
ES,124,18,6939->6939,0.5241935483870968,0.7258064516129032,0.7661290322580645,1.7336552291619038,0.5998035458330772,5.661309518583133,broad_network_transition_distribution,0.016129032258064516,True,True,auditable,,114,71,0.04838709677419355,0.9516129032258065,transition_near_country
FI,361,29,1299->1299,0.4515235457063712,0.5650969529085873,0.6371191135734072,2.246208972726477,0.6670661225317704,9.451835663302592,broad_network_transition_distribution,0.10249307479224377,True,True,auditable,,182,88,0.1440443213296399,0.8559556786703602,transition_near_country
FJ,8,3,38442->38442,0.375,0.75,1.0,1.0821955300387673,0.9850568223215079,2.9511517858675242,weak_network_transition_concentration,0.25,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0,transition_near_country
FR,955,78,174->174,0.2534031413612565,0.4890052356020942,0.5664921465968586,2.7750906359786187,0.6369694983924936,16.040080738188813,broad_network_transition_distribution,0.041884816753926704,True,True,auditable,,907,504,0.0,1.0,transition_near_country
GB,13,2,6453->6453,0.5384615384615384,1.0,1.0,0.6901856760188042,0.9957274520849256,1.9940857527753038,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,13,0.0,1.0,transition_near_country
GG,6,1,8680->8680,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1.0,0.0,transition_near_country
GH,7,2,37721->37721,0.5714285714285714,1.0,1.0,0.6829081047004717,0.9852281360342515,1.9796263300525183,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,transition_near_country
GP,9,2,21351->21351,0.8888888888888888,1.0,1.0,0.34883209584303193,0.5032583347756457,1.4174111811317323,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.6666666666666666,0.3333333333333333,transition_near_country
GQ,2,1,37529->37529,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.5,0.5,transition_near_country
GR,2,2,COUNTRY_FALLBACK:GR->FR,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,2,0.0,1.0,transition_near_country
