metric,value
candidate_rows,14309.0
unique_links,4525.0
unique_units,142.0
units_with_network_layer_diversity,170.0
units_with_physical_diversity_cable,142.0
units_with_physical_diversity_corridor,142.0
units_with_network_physical_mismatch_cable,142.0
units_with_network_physical_mismatch_corridor,142.0
median_network_layer_diversity_score,8.760629243223574
median_cable_physical_candidate_diversity_score,4.987677141187761
median_corridor_physical_candidate_diversity_score,3.782275686297043
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,60.0
cable_mismatch_network_low_physical_low,60.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,9.0
corridor_mismatch_network_high_physical_high,62.0
corridor_mismatch_network_low_physical_low,62.0
corridor_mismatch_network_low_physical_high,9.0
cable_corridor_target_quadrant_preserved,8.0
cable_corridor_target_quadrant_jaccard,0.6666666666666666
cable_corridor_target_quadrant_recall_from_cable,0.7272727272727273
cable_corridor_target_quadrant_precision_to_corridor,0.8888888888888888
mean_corridor_minus_cable_physical_diversity,-0.5178454221516692
cable_corridor_quadrant_agreement_rate,0.8873239436619719
spearman_cable_corridor_physical_diversity_score,0.9132957652951377
