metric,value
candidate_rows,6712.0
unique_links,2463.0
unique_units,75.0
units_with_network_layer_diversity,114.0
units_with_physical_diversity_cable,75.0
units_with_physical_diversity_corridor,75.0
units_with_network_physical_mismatch_cable,75.0
units_with_network_physical_mismatch_corridor,75.0
median_network_layer_diversity_score,4.586074027192389
median_cable_physical_candidate_diversity_score,2.82842712474619
median_corridor_physical_candidate_diversity_score,1.9997804659964773
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,26.0
cable_mismatch_network_low_physical_low,26.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,30.0
corridor_mismatch_network_low_physical_low,30.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5384615384615384
cable_corridor_target_quadrant_recall_from_cable,0.5833333333333334
cable_corridor_target_quadrant_precision_to_corridor,0.875
mean_corridor_minus_cable_physical_diversity,-0.9661636586667836
cable_corridor_quadrant_agreement_rate,0.7866666666666666
spearman_cable_corridor_physical_diversity_score,0.8100990325897395
