probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AD,C-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AD,C-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AE,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6.0,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,-0.08170416594551033,0.08170416594551033,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5.0,4.0,0.6666666666666666,0.3333333333333333,probe_country_service
AE,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6.0,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,-0.08170416594551033,0.08170416594551033,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5.0,4.0,0.6666666666666666,0.3333333333333333,probe_country_service
AF,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2.0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1.0,1.0,0.0,1.0,probe_country_service
AF,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2.0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1.0,1.0,0.0,1.0,probe_country_service
AL,C-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AL,C-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AM,C-Root,all_publicly_visible,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4.0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2.0,1.0,0.0,1.0,probe_country_service
AM,C-Root,resolved_entry_only,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4.0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2.0,1.0,0.0,1.0,probe_country_service
