probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,C-Root,all_publicly_visible,24,0,0,18,6,15,9,0.0,0.0,0.75,0.25
?,C-Root,resolved_entry_only,24,0,0,18,6,15,9,0.0,0.0,0.75,0.25
AD,C-Root,all_publicly_visible,34,0,0,24,10,29,5,0.0,0.0,0.7058823529411765,0.29411764705882354
AD,C-Root,resolved_entry_only,34,0,0,24,10,29,5,0.0,0.0,0.7058823529411765,0.29411764705882354
AE,C-Root,all_publicly_visible,327,26,0,249,52,244,83,0.07951070336391437,0.0,0.7614678899082569,0.15902140672782875
AE,C-Root,resolved_entry_only,327,26,0,249,52,244,83,0.07951070336391437,0.0,0.7614678899082569,0.15902140672782875
AF,C-Root,all_publicly_visible,118,2,0,69,47,80,38,0.01694915254237288,0.0,0.5847457627118644,0.3983050847457627
AF,C-Root,resolved_entry_only,118,2,0,69,47,80,38,0.01694915254237288,0.0,0.5847457627118644,0.3983050847457627
AL,C-Root,all_publicly_visible,441,0,0,329,112,336,105,0.0,0.0,0.746031746031746,0.25396825396825395
AL,C-Root,resolved_entry_only,425,0,0,325,100,326,99,0.0,0.0,0.7647058823529411,0.23529411764705882
AM,C-Root,all_publicly_visible,385,4,0,330,51,281,104,0.01038961038961039,0.0,0.8571428571428571,0.13246753246753246
AM,C-Root,resolved_entry_only,377,4,0,324,49,275,102,0.010610079575596816,0.0,0.8594164456233422,0.129973474801061
AO,C-Root,all_publicly_visible,250,0,0,176,74,202,48,0.0,0.0,0.704,0.296
AO,C-Root,resolved_entry_only,250,0,0,176,74,202,48,0.0,0.0,0.704,0.296
AR,C-Root,all_publicly_visible,962,0,0,778,184,736,226,0.0,0.0,0.8087318087318087,0.19126819126819128
AR,C-Root,resolved_entry_only,962,0,0,778,184,736,226,0.0,0.0,0.8087318087318087,0.19126819126819128
AT,C-Root,all_publicly_visible,3954,0,0,3472,482,2920,1034,0.0,0.0,0.8780981284774911,0.12190187152250885
AT,C-Root,resolved_entry_only,3869,0,0,3397,472,2855,1014,0.0,0.0,0.8780046523649522,0.12199534763504781
AU,C-Root,all_publicly_visible,4955,717,0,2863,1375,3541,1414,0.14470232088799193,0.0,0.5778002018163472,0.27749747729566093
AU,C-Root,resolved_entry_only,4921,714,0,2837,1370,3517,1404,0.14509246088193456,0.0,0.5765088396667344,0.27839869945133106
AX,C-Root,all_publicly_visible,47,6,0,37,4,38,9,0.1276595744680851,0.0,0.7872340425531915,0.0851063829787234
AX,C-Root,resolved_entry_only,47,6,0,37,4,38,9,0.1276595744680851,0.0,0.7872340425531915,0.0851063829787234
AZ,C-Root,all_publicly_visible,163,7,0,109,47,113,50,0.04294478527607362,0.0,0.6687116564417178,0.2883435582822086
AZ,C-Root,resolved_entry_only,161,7,0,109,45,113,48,0.043478260869565216,0.0,0.6770186335403726,0.2795031055900621
BA,C-Root,all_publicly_visible,246,0,0,214,32,201,45,0.0,0.0,0.8699186991869918,0.13008130081300814
BA,C-Root,resolved_entry_only,246,0,0,214,32,201,45,0.0,0.0,0.8699186991869918,0.13008130081300814
BB,C-Root,all_publicly_visible,12,0,0,10,2,8,4,0.0,0.0,0.8333333333333334,0.16666666666666666
BB,C-Root,resolved_entry_only,12,0,0,10,2,8,4,0.0,0.0,0.8333333333333334,0.16666666666666666
BD,C-Root,all_publicly_visible,224,61,0,92,71,173,51,0.27232142857142855,0.0,0.4107142857142857,0.3169642857142857
BD,C-Root,resolved_entry_only,224,61,0,92,71,173,51,0.27232142857142855,0.0,0.4107142857142857,0.3169642857142857
BE,C-Root,all_publicly_visible,2461,0,0,1939,522,1828,633,0.0,0.0,0.7878911011783828,0.21210889882161724
BE,C-Root,resolved_entry_only,2461,0,0,1939,522,1828,633,0.0,0.0,0.7878911011783828,0.21210889882161724
BF,C-Root,all_publicly_visible,77,2,0,51,24,55,22,0.025974025974025976,0.0,0.6623376623376623,0.3116883116883117
BF,C-Root,resolved_entry_only,77,2,0,51,24,55,22,0.025974025974025976,0.0,0.6623376623376623,0.3116883116883117
BG,C-Root,all_publicly_visible,1312,0,0,1156,156,1101,211,0.0,0.0,0.8810975609756098,0.11890243902439024
BG,C-Root,resolved_entry_only,1304,0,0,1150,154,1093,211,0.0,0.0,0.8819018404907976,0.11809815950920245
BH,C-Root,all_publicly_visible,119,8,0,64,47,81,38,0.06722689075630252,0.0,0.5378151260504201,0.3949579831932773
BH,C-Root,resolved_entry_only,119,8,0,64,47,81,38,0.06722689075630252,0.0,0.5378151260504201,0.3949579831932773
BI,C-Root,all_publicly_visible,39,1,0,36,2,30,9,0.02564102564102564,0.0,0.9230769230769231,0.05128205128205128
BI,C-Root,resolved_entry_only,39,1,0,36,2,30,9,0.02564102564102564,0.0,0.9230769230769231,0.05128205128205128
BJ,C-Root,all_publicly_visible,195,8,0,162,25,138,57,0.041025641025641026,0.0,0.8307692307692308,0.1282051282051282
BJ,C-Root,resolved_entry_only,195,8,0,162,25,138,57,0.041025641025641026,0.0,0.8307692307692308,0.1282051282051282
BL,C-Root,all_publicly_visible,16,0,0,16,0,12,4,0.0,0.0,1.0,0.0
BL,C-Root,resolved_entry_only,16,0,0,16,0,12,4,0.0,0.0,1.0,0.0
BO,C-Root,all_publicly_visible,437,0,0,343,94,321,116,0.0,0.0,0.7848970251716247,0.2151029748283753
