probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,16,0.3125,0.5625,0.6875,1.749778989184166,0.8992085220551609,5.753330987107183,broad_network_transition_distribution,0.5,0.8125,0.9375,1.1432752061942137,0.8246987351738496,3.137025965011511,-0.07450978688131127,0.07450978688131127,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.3125,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,6,0.8125,0.1875
AE,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,16,0.3125,0.5625,0.6875,1.749778989184166,0.8992085220551609,5.753330987107183,broad_network_transition_distribution,0.5,0.8125,0.9375,1.1432752061942137,0.8246987351738496,3.137025965011511,-0.07450978688131127,0.07450978688131127,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.3125,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,6,0.8125,0.1875
AF,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.0,1.0
AF,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.0,1.0
AL,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AL,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AU,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,123,0.3983739837398374,0.5203252032520325,0.6341463414634146,2.023587609011595,0.788938621000411,7.5654180668511515,broad_network_transition_distribution,0.6178861788617886,0.7560975609756098,0.8861788617886179,1.0836592912978895,0.7816949427843569,2.9554747306291396,-0.007243678216054095,0.007243678216054095,weak_corridor_observation_concentration,network_and_physical_both_broad,0.12195121951219512,True,True,True,True,True,auditable,,41,21,1.0,0.0
AU,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,123,0.3983739837398374,0.5203252032520325,0.6341463414634146,2.023587609011595,0.788938621000411,7.5654180668511515,broad_network_transition_distribution,0.6178861788617886,0.7560975609756098,0.8861788617886179,1.0836592912978895,0.7816949427843569,2.9554747306291396,-0.007243678216054095,0.007243678216054095,weak_corridor_observation_concentration,network_and_physical_both_broad,0.12195121951219512,True,True,True,True,True,auditable,,41,21,1.0,0.0
AX,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
AX,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
