country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,34,0.4411764705882353,0.8235294117647058,0.9411764705882353,1.147049746112262,0.8274214901845525,3.148889169725539,moderate_network_transition_concentration,0.8823529411764706,0.9411764705882353,1.0,0.4437572842601484,0.40392528723498305,1.5585521545710281,-0.4234962029495694,0.4234962029495694,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,10,6,0.8823529411764706,0.11764705882352941,transition_near_country
AU,156,0.2948717948717949,0.4871794871794872,0.6346153846153846,2.0763301862091756,0.7667251461454014,7.975147838237956,broad_network_transition_distribution,0.5512820512820513,0.7115384615384616,0.8461538461538463,1.3131091563745743,0.7328601739943934,3.7177147179314507,-0.03386497215100803,0.03386497215100803,weak_corridor_observation_concentration,network_and_physical_both_broad,0.2948717948717949,True,True,True,True,True,auditable,,78,38,0.9487179487179487,0.05128205128205128,transition_near_country
AX,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BH,13,0.5384615384615384,0.8461538461538461,1.0,0.9839614460010255,0.895640305638598,2.675032275816638,moderate_network_transition_concentration,0.46153846153846156,0.7307692307692308,1.0,1.0634187732433902,0.9679654817375236,2.8962557243827907,0.07232517609892564,-0.07232517609892564,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.46153846153846156,0.5384615384615384,transition_near_country
BJ,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BR,59,0.9322033898305084,0.9661016949152542,0.983050847457627,0.31839134985646866,0.22967081074993517,1.3749142284399563,severe_network_transition_concentration,0.9661016949152542,0.983050847457627,1.0,0.17153876142149294,0.1561413095328253,1.1871301566928694,-0.07352950121710988,0.07352950121710988,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.01694915254237288,True,True,True,True,True,auditable,,33,13,0.01694915254237288,0.9830508474576272,transition_near_country
CA,289,0.17993079584775087,0.32179930795847755,0.43252595155709345,2.6496105029432124,0.8337210898196532,14.148526762482536,broad_network_transition_distribution,0.4809688581314879,0.7439446366782007,0.9792387543252594,1.1565982144791365,0.55620616944336,3.179100243558406,-0.2775149203762932,0.2775149203762932,weak_corridor_observation_concentration,network_and_physical_both_broad,0.11072664359861592,True,True,True,True,True,auditable,,96,28,0.49480968858131485,0.5051903114186851,transition_near_country
CM,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,8,0.875,1.0,1.0,0.37677016125643675,0.5435644431995964,1.4575692649810903,severe_network_transition_concentration,0.4375,0.875,1.0,0.9832739442463889,0.895014514573153,2.673193818477041,0.35145007137355655,-0.35145007137355655,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.125,0.875,transition_near_country
CO,7,0.7142857142857143,1.0,1.0,0.5982695885852573,0.8631205685666311,1.8189685116531733,moderate_network_transition_concentration,0.42857142857142855,0.7142857142857142,1.0,1.0789922078775833,0.9821410328348751,2.941713421083178,0.11902046426824398,-0.11902046426824398,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0,transition_near_country
CV,4,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_network_transition_concentration,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,0.18872187554086717,-0.18872187554086717,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.75,0.25,transition_near_country
