probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
MV,M-Root,dns_root,anycast,all_publicly_visible,24,24,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,22,0.9166666666666666,1.0,12,4,1,1,1.0,False,0.26666666666666666,True,True,auditable,
MV,M-Root,dns_root,anycast,resolved_entry_only,24,24,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,22,0.9166666666666666,1.0,12,4,1,1,1.0,False,0.26666666666666666,True,True,auditable,
NO,M-Root,dns_root,anycast,resolved_entry_only,174,174,148,0.8505747126436781,0.8505747126436781,0.8505747126436781,0.8505747126436781,0.017241379310344827,0.20689655172413793,148,0.8505747126436781,1.0,88,34,1,1,1.0,True,0.27325581395348836,True,True,auditable,
NO,M-Root,dns_root,anycast,all_publicly_visible,184,176,150,0.8152173913043478,0.8152173913043478,0.8152173913043478,0.8152173913043478,0.016304347826086956,0.1956521739130435,150,0.8152173913043478,0.9565217391304348,93,35,1,1,0.9456521739130435,True,0.26857142857142857,True,True,auditable,
IL,M-Root,dns_root,anycast,resolved_entry_only,65,65,50,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.3230769230769231,0.6153846153846154,50,0.7692307692307693,1.0,33,13,1,1,1.0,True,0.0,True,True,auditable,
IL,M-Root,dns_root,anycast,all_publicly_visible,67,65,50,0.746268656716418,0.746268656716418,0.746268656716418,0.5970149253731343,0.31343283582089554,0.5970149253731343,50,0.746268656716418,0.9701492537313433,34,13,1,1,0.9701492537313433,True,0.0,True,True,auditable,
PH,M-Root,dns_root,anycast,resolved_entry_only,126,126,83,0.6587301587301587,0.6904761904761905,0.6587301587301587,0.15873015873015872,0.5952380952380952,0.30952380952380953,83,0.6587301587301587,1.0,63,34,1,1,1.0,True,0.19047619047619047,True,True,auditable,
PH,M-Root,dns_root,anycast,all_publicly_visible,132,126,83,0.6287878787878788,0.6590909090909091,0.6287878787878788,0.15151515151515152,0.5681818181818182,0.29545454545454547,83,0.6287878787878788,0.9545454545454546,66,35,1,1,0.9545454545454546,True,0.19047619047619047,True,True,auditable,
SG,M-Root,dns_root,anycast,resolved_entry_only,279,279,173,0.6200716845878136,0.6200716845878136,0.6200716845878136,0.6164874551971327,0.08243727598566308,0.6164874551971327,173,0.6200716845878136,1.0,140,62,1,1,1.0,True,0.2647058823529412,True,True,auditable,
SG,M-Root,dns_root,anycast,all_publicly_visible,297,279,173,0.5824915824915825,0.5824915824915825,0.5824915824915825,0.5791245791245792,0.07744107744107744,0.5791245791245792,173,0.5824915824915825,0.9393939393939394,149,66,1,1,0.9393939393939394,True,0.2647058823529412,True,True,auditable,
PT,M-Root,dns_root,anycast,resolved_entry_only,199,199,87,0.4371859296482412,0.457286432160804,0.4371859296482412,0.4221105527638191,0.01507537688442211,0.020100502512562814,87,0.4371859296482412,1.0,99,22,1,1,1.0,True,0.06711409395973154,True,True,auditable,
ZA,M-Root,dns_root,anycast,resolved_entry_only,258,258,112,0.43410852713178294,0.43410852713178294,0.43410852713178294,0.046511627906976744,0.4263565891472868,0.023255813953488372,112,0.43410852713178294,1.0,129,68,1,1,1.0,True,0.24812030075187969,True,True,auditable,
ZA,M-Root,dns_root,anycast,all_publicly_visible,269,261,112,0.4163568773234201,0.4163568773234201,0.4163568773234201,0.04460966542750929,0.40892193308550184,0.022304832713754646,112,0.4163568773234201,0.9702602230483272,134,71,1,1,0.9591078066914498,True,0.24812030075187969,True,True,auditable,
PT,M-Root,dns_root,anycast,all_publicly_visible,209,199,87,0.41626794258373206,0.4354066985645933,0.41626794258373206,0.4019138755980861,0.014354066985645933,0.019138755980861243,87,0.41626794258373206,0.9521531100478469,104,23,1,1,0.9521531100478469,True,0.06711409395973154,True,True,auditable,
