probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,country_geography_type,country_geography_classification_source,candidate_dependency_proxy_rate,candidate_dependency_proxy_rate_among_mappable_traces,candidate_dependency_proxy_tier,candidate_dependency_proxy_interpretation,total_mappable_segments,top1_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,effective_network_transition_count,network_transition_concentration_tier,cross_layer_distribution_class
?,M-Root,dns_root,anycast,all_publicly_visible,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1,1,1,1,1.0,False,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",unknown,unclassified_or_missing_country_code,0.0,0.0,no_observed_inter_region_candidate_exposure,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,0.0,,,,unknown_corridor_observation_concentration,,,unknown_cross_layer_distribution_class
?,M-Root,dns_root,anycast,resolved_entry_only,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1,1,1,1,1.0,False,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",unknown,unclassified_or_missing_country_code,0.0,0.0,no_observed_inter_region_candidate_exposure,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,0.0,,,,unknown_corridor_observation_concentration,,,unknown_cross_layer_distribution_class
AD,M-Root,dns_root,anycast,all_publicly_visible,6,6,6,1.0,1.0,1.0,0.0,1.0,0.0,6,1.0,1.0,3,1,1,1,1.0,False,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",landlocked,catalog_landlocked_list,1.0,1.0,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,6.0,1.0,1.0,1.0,severe_corridor_observation_concentration,1.8898815748423097,moderate_network_transition_concentration,network_and_physical_both_concentrated
AD,M-Root,dns_root,anycast,resolved_entry_only,6,6,6,1.0,1.0,1.0,0.0,1.0,0.0,6,1.0,1.0,3,1,1,1,1.0,False,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",landlocked,catalog_landlocked_list,1.0,1.0,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,6.0,1.0,1.0,1.0,severe_corridor_observation_concentration,1.8898815748423097,moderate_network_transition_concentration,network_and_physical_both_concentrated
AE,M-Root,dns_root,anycast,all_publicly_visible,44,44,28,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6136363636363636,0.022727272727272728,0.5681818181818182,28,0.6363636363636364,1.0,22,14,1,1,1.0,True,0.7391304347826086,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,coastal_mainland_or_mixed,catalog_default_alpha2_rule,0.6363636363636364,0.6363636363636364,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,46.0,0.30434782608695654,0.9130434782608696,4.071448756560252,weak_corridor_observation_concentration,2.3637484310560253,moderate_network_transition_concentration,network_and_physical_both_concentrated
AE,M-Root,dns_root,anycast,resolved_entry_only,44,44,28,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6136363636363636,0.022727272727272728,0.5681818181818182,28,0.6363636363636364,1.0,22,14,1,1,1.0,True,0.7391304347826086,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,coastal_mainland_or_mixed,catalog_default_alpha2_rule,0.6363636363636364,0.6363636363636364,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,46.0,0.30434782608695654,0.9130434782608696,4.071448756560252,weak_corridor_observation_concentration,2.3637484310560253,moderate_network_transition_concentration,network_and_physical_both_concentrated
AF,M-Root,dns_root,anycast,all_publicly_visible,12,12,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,4,0.3333333333333333,1.0,6,2,1,1,1.0,False,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",landlocked,catalog_landlocked_list,0.3333333333333333,0.3333333333333333,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,6.0,0.6666666666666666,0.8888888888888888,2.72568088924821,weak_corridor_observation_concentration,1.8898815748423097,moderate_network_transition_concentration,network_and_physical_both_concentrated
AF,M-Root,dns_root,anycast,resolved_entry_only,12,12,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,4,0.3333333333333333,1.0,6,2,1,1,1.0,False,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",landlocked,catalog_landlocked_list,0.3333333333333333,0.3333333333333333,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,6.0,0.6666666666666666,0.8888888888888888,2.72568088924821,weak_corridor_observation_concentration,1.8898815748423097,moderate_network_transition_concentration,network_and_physical_both_concentrated
AL,M-Root,dns_root,anycast,all_publicly_visible,58,54,24,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.06896551724137931,0.3620689655172414,0.06896551724137931,24,0.41379310344827586,0.9310344827586207,29,20,1,1,0.896551724137931,True,0.35294117647058826,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,coastal_mainland_or_mixed,catalog_default_alpha2_rule,0.41379310344827586,0.4444444444444444,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,34.0,0.5588235294117647,0.7941176470588236,4.021513721504523,broad_corridor_observation_distribution,4.939110879170607,broad_network_transition_distribution,network_and_physical_both_broad
AL,M-Root,dns_root,anycast,resolved_entry_only,52,52,24,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.40384615384615385,0.07692307692307693,24,0.46153846153846156,1.0,26,17,1,1,1.0,True,0.35294117647058826,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,coastal_mainland_or_mixed,catalog_default_alpha2_rule,0.46153846153846156,0.46153846153846156,very_high_candidate_dependency_proxy,descriptive inter-region feasible-corridor candidate exposure; not actual cable use or traffic dependency,34.0,0.5588235294117647,0.7941176470588236,4.021513721504523,broad_corridor_observation_distribution,4.939110879170607,broad_network_transition_distribution,network_and_physical_both_broad
