probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
?,M-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
?,M-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AD,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.9182958340544894,0.9182958340544894,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.3333333333333333,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3.0,1.0,0.0,1.0,probe_country_service
AD,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.9182958340544894,0.9182958340544894,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.3333333333333333,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3.0,1.0,0.0,1.0,probe_country_service
AE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,46.0,0.717391304347826,0.9130434782608695,0.9565217391304348,0.8602486772382318,0.5345025555768095,2.3637484310560253,moderate_network_transition_concentration,0.30434782608695654,0.6086956521739131,0.9130434782608696,1.4039988959586427,0.7215127053221065,4.071448756560252,0.18701014974529706,-0.18701014974529706,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.7391304347826086,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,14.0,9.0,0.9782608695652174,0.021739130434782608,probe_country_service
AE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,46.0,0.717391304347826,0.9130434782608695,0.9565217391304348,0.8602486772382318,0.5345025555768095,2.3637484310560253,moderate_network_transition_concentration,0.30434782608695654,0.6086956521739131,0.9130434782608696,1.4039988959586427,0.7215127053221065,4.071448756560252,0.18701014974529706,-0.18701014974529706,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.7391304347826086,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,14.0,9.0,0.9782608695652174,0.021739130434782608,probe_country_service
AF,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0027182645175161,0.7233083338141042,2.72568088924821,-0.19498750024038525,0.19498750024038525,weak_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2.0,1.0,0.33333333333333326,0.6666666666666665,probe_country_service
AF,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0027182645175161,0.7233083338141042,2.72568088924821,-0.19498750024038525,0.19498750024038525,weak_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2.0,1.0,0.33333333333333326,0.6666666666666665,probe_country_service
AL,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34.0,0.35294117647058826,0.5882352941176471,0.7352941176470589,1.5971853310272106,0.8914061058180578,4.939110879170607,broad_network_transition_distribution,0.5588235294117647,0.6764705882352942,0.7941176470588236,1.3916583793926007,0.7151709343148311,4.021513721504523,-0.17623517150322665,0.17623517150322665,broad_corridor_observation_distribution,network_and_physical_both_broad,0.35294117647058826,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,13.0,10.0,0.35294117647058826,0.6470588235294118,probe_country_service
AL,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34.0,0.35294117647058826,0.5882352941176471,0.7352941176470589,1.5971853310272106,0.8914061058180578,4.939110879170607,broad_network_transition_distribution,0.5588235294117647,0.6764705882352942,0.7941176470588236,1.3916583793926007,0.7151709343148311,4.021513721504523,-0.17623517150322665,0.17623517150322665,broad_corridor_observation_distribution,network_and_physical_both_broad,0.35294117647058826,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,13.0,10.0,0.35294117647058826,0.6470588235294118,probe_country_service
AM,M-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AM,M-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AO,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,0.08170416594551033,-0.08170416594551033,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1.0,1.0,0.3333333333333333,0.6666666666666666,probe_country_service
AO,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3.0,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,0.08170416594551033,-0.08170416594551033,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1.0,1.0,0.3333333333333333,0.6666666666666666,probe_country_service
AR,M-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AR,M-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AT,M-Root,all_publicly_visible,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
AT,M-Root,resolved_entry_only,,,0.0,,,,,,,,,,,,,,,,,unknown_cross_layer_distribution_class,,False,False,False,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",0.0,0.0,,,probe_country_service
