probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
NZ,J-Root,dns_root,anycast,all_publicly_visible,232,211,201,0.8663793103448276,0.8922413793103449,0.8663793103448276,0.34051724137931033,0.8103448275862069,0.8922413793103449,201,0.8663793103448276,0.9094827586206896,116,35,1,1,0.0,True,0.05277777777777778,True,True,auditable,
IL,J-Root,dns_root,anycast,all_publicly_visible,70,62,60,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,60,0.8571428571428571,0.8857142857142857,35,13,1,1,0.0,True,0.11333333333333333,True,True,auditable,
NO,J-Root,dns_root,anycast,all_publicly_visible,186,173,142,0.7634408602150538,0.7741935483870968,0.7634408602150538,0.7634408602150538,0.0,0.1989247311827957,142,0.7634408602150538,0.9301075268817204,93,35,1,1,0.0,True,0.0,True,True,auditable,
HK,J-Root,dns_root,anycast,all_publicly_visible,132,120,84,0.6363636363636364,0.8560606060606061,0.6363636363636364,0.6136363636363636,0.4621212121212121,0.8484848484848485,84,0.6363636363636364,0.9090909090909091,66,40,1,1,0.0,True,0.0622568093385214,True,True,auditable,
ID,J-Root,dns_root,anycast,all_publicly_visible,188,173,108,0.574468085106383,0.7606382978723404,0.574468085106383,0.5,0.1276595744680851,0.648936170212766,108,0.574468085106383,0.9202127659574468,94,66,1,1,0.0,True,0.08387096774193549,True,True,auditable,
SG,J-Root,dns_root,anycast,all_publicly_visible,301,222,168,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.1461794019933555,0.5581395348837209,168,0.5581395348837209,0.7375415282392026,150,67,1,1,0.0,True,0.033003300330033,True,True,auditable,
VN,J-Root,dns_root,anycast,all_publicly_visible,56,56,30,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.4642857142857143,0.14285714285714285,0.4642857142857143,30,0.5357142857142857,1.0,28,16,1,1,0.0,True,0.0,True,True,auditable,
MY,J-Root,dns_root,anycast,all_publicly_visible,72,46,26,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3472222222222222,0.1111111111111111,0.25,26,0.3611111111111111,0.6388888888888888,36,20,1,1,0.0,True,0.13114754098360656,True,True,auditable,
EE,J-Root,dns_root,anycast,all_publicly_visible,84,70,25,0.2976190476190476,0.2976190476190476,0.2976190476190476,0.0,0.2976190476190476,0.0,25,0.2976190476190476,0.8333333333333334,42,22,1,1,0.0,True,0.0,True,True,auditable,
PH,J-Root,dns_root,anycast,all_publicly_visible,132,101,39,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.10606060606060606,0.23484848484848486,0.030303030303030304,39,0.29545454545454547,0.7651515151515151,66,35,1,1,0.0,True,0.0,True,True,auditable,
SE,J-Root,dns_root,anycast,all_publicly_visible,465,432,120,0.25806451612903225,0.34408602150537637,0.25806451612903225,0.08172043010752689,0.2021505376344086,0.16774193548387098,120,0.25806451612903225,0.9290322580645162,232,78,1,1,0.0,True,0.02857142857142857,True,True,auditable,
